n,seconds
1,0.0000702000
2,0.0001359000
3,0.0001720000
4,0.0002505000
5,0.0003027000
6,0.0005952000
7,0.0005293000
8,0.0005019000
9,0.0006062000
10,0.0008484000
11,0.0010023000
12,0.0009247000
13,0.0008290000
14,0.0011141000
15,0.0015672000
16,0.0011389000
17,0.0010651000
18,0.0011166000
19,0.0014168000
20,0.0016727000
21,0.0013980000
22,0.0016324000
23,0.0016415000
24,0.0019594000
25,0.0018024000
26,0.0016598000
27,0.0024618000
28,0.0022044000
29,0.0027049000
30,0.0021501000
31,0.0022972000
32,0.0024222000
33,0.0027690000
34,0.0027056000
35,0.0026963000
36,0.0033387000
37,0.0028522000
38,0.0033067000
39,0.0034929000
40,0.0031689000
41,0.0036554000
42,0.0036325000
43,0.0029413000
44,0.0036989000
45,0.0031220000
46,0.0033972000
47,0.0040141000
48,0.0032829000
49,0.0037454000
50,0.0044348000
51,0.0040198000
52,0.0037183000
53,0.0036597000
54,0.0041710000
55,0.0045334000
56,0.0042033000
57,0.0046177000
58,0.0054692000
59,0.0048917000
60,0.0048002000
61,0.0046802000
62,0.0051293000
63,0.0055614000
64,0.0055577000
65,0.0052244000
66,0.0059007000
67,0.0054976000
68,0.0056058000
69,0.0060280000
70,0.0053744000
71,0.0061138000
72,0.0055207000
73,0.0052044000
74,0.0058824000
75,0.0060854000
76,0.0056287000
77,0.0062970000
78,0.0064657000
79,0.0060079000
80,0.0073564000
81,0.0079773000
82,0.0061942000
83,0.0068883000
84,0.0060752000
85,0.0057977000
86,0.0064020000
87,0.0070780000
88,0.0080743000
89,0.0092419000
90,0.0090113000
91,0.0096553000
92,0.0091215000
93,0.0093338000
94,0.0089878000
95,0.0079243000
96,0.0075805000
97,0.0082442000
98,0.0084894000
99,0.0072382000
100,0.0075187000
101,0.0072821000
102,0.0074226000
103,0.0081695000
104,0.0080895000
105,0.0077959000
106,0.0077474000
107,0.0087016000
108,0.0088574000
109,0.0090071000
110,0.0089520000
111,0.0084885000
112,0.0084648000
113,0.0083994000
114,0.0105407000
115,0.0101040000
116,0.0099534000
117,0.0098072000
118,0.0090121000
119,0.0089377000
120,0.0091321000
121,0.0092737000
122,0.0102570000
123,0.0094604000
124,0.0089645000
125,0.0103210000
126,0.0093622000
127,0.0092305000
128,0.0093651000
129,0.0105741000
130,0.0099334000
131,0.0095655000
132,0.0098017000
133,0.0099793000
134,0.0108247000
135,0.0103845000
136,0.0100945000
137,0.0110754000
138,0.0110299000
139,0.0104402000
140,0.0125464000
141,0.0115485000
142,0.0116337000
143,0.0125774000
144,0.0133440000
145,0.0120832000
146,0.0117101000
147,0.0119907000
148,0.0126160000
149,0.0134143000
150,0.0120867000
151,0.0123864000
152,0.0124786000
153,0.0135296000
154,0.0128930000
155,0.0139193000
156,0.0135699000
157,0.0121066000
158,0.0132599000
159,0.0139650000
160,0.0133807000
161,0.0126653000
162,0.0134917000
163,0.0134716000
164,0.0137118000
165,0.0150549000
166,0.0142145000
167,0.0134128000
168,0.0127488000
169,0.0132661000
170,0.0142722000
171,0.0145498000
172,0.0125890000
173,0.0133513000
174,0.0137579000
175,0.0132331000
176,0.0145519000
177,0.0134846000
178,0.0140101000
179,0.0137403000
180,0.0137103000
181,0.0143013000
182,0.0143065000
183,0.0146596000
184,0.0147509000
185,0.0140132000
186,0.0144917000
187,0.0138016000
188,0.0157692000
189,0.0142809000
190,0.0146852000
191,0.0148512000
192,0.0148023000
193,0.0155582000
194,0.0168069000
195,0.0146151000
196,0.0160833000
197,0.0152180000
198,0.0171821000
199,0.0153550000
200,0.0161575000
